Item Name,Global Category,Major Category,Minor Category,Item Quantity,Item/Cover %,Average Item Price,Gross Sales,Net Sales
it all happened so fast 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,33.00,2.25,7.00,231.00,231.00
crispy boi 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,33.00,2.25,8.00,264.00,264.00
do what's in your heart 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,303.00,20.68,8.00,2424.00,2416.40
stouty mcstoutface,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,3.00,0.20,18.00,54.00,53.00
socially acceptable,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,3.00,0.20,17.00,51.00,48.00
identity cri?is 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,3.00,0.20,17.00,51.00,41.50
knotty pretzels: chile lime,FOOD,FOOD,FOOD,3.00,0.20,7.00,21.00,21.00
stouty mcstoutface,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,3.00,0.20,10.00,30.00,29.00
short-sleeved shirt,RETAIL,RETAIL,CLOTHING,3.00,0.20,20.00,60.00,60.00
field artillery 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,29.00,1.98,4.00,116.00,114.00
robot insurance 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,24.00,1.64,18.00,432.00,419.00
brute squad 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,22.00,1.50,8.00,176.00,176.00
chocolate vanilla porter 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,210.00,14.33,7.00,1470.00,1450.83
low orbit ion cannon 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,20.00,1.37,17.70,354.00,341.00
blood orange w/ hibiscus,BEVERAGE,ALCOHOL,4OZ DRAUGHT,2.00,0.14,4.00,8.00,8.00
knotty pretzels: hot wings,FOOD,FOOD,FOOD,2.00,0.14,7.00,14.00,14.00
robot insurance,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,2.00,0.14,10.00,20.00,19.00
low orbit ion canon 32oz,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,2.00,0.14,10.00,20.00,20.00
red engine #63 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,19.00,1.30,7.00,133.00,133.00
touch bistro giftcard,OTHER,GIFT CARD SALES,GIFT CARDS,19.00,1.30,47.42,901.00,871.00
movie quotes hoppy lager 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,17.00,1.16,6.00,102.00,102.00
do what's in your heart 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,17.00,1.16,17.12,291.00,280.00
chd donation,BEVERAGE,ALCOHOL,BEER FLIGHTS,16.00,1.09,5.13,82.00,82.00
crispy boi lager 4-pack 16oz cans,RETAIL,RETAIL,PACKAGED GOODS,16.00,1.09,16.00,256.00,256.00
