Item Name,Global Category,Major Category,Minor Category,Item Quantity,Item/Cover %,Average Item Price,Gross Sales,Net Sales
brute squad barleywine 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,23.00,1.23,20.00,460.00,441.00
chocolate vanilla porter 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,221.00,11.78,7.00,1547.00,1535.45
identity cri?i?: coconut 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,220.00,11.73,8.00,1760.00,1748.00
field artillery 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,21.00,1.12,4.00,84.00,78.00
coffee porter,BEVERAGE,ALCOHOL,4OZ DRAUGHT,20.00,1.07,4.00,80.00,80.00
low orbit ion canon 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,2.00,0.11,4.00,8.00,8.00
growler cap,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,2.00,0.11,1.00,2.00,2.00
barrel-aged chocolate vanilla porter,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,2.00,0.11,20.00,40.00,38.00
knotty pretzels: italian,FOOD,FOOD,FOOD,2.00,0.11,7.00,14.00,14.00
two ton booing,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,2.00,0.11,10.00,20.00,20.00
low orbit ion canon 32oz,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,2.00,0.11,10.00,20.00,19.00
brute squad barleywine,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,2.00,0.11,15.00,30.00,28.00
barrel-aged chocolate vanilla porter,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,2.00,0.11,12.00,24.00,24.00
16oz new pint glass (no bevel),RETAIL,RETAIL,MERCHANDISE,2.00,0.11,8.00,16.00,16.00
refundable keg deposit,BEVERAGE,ALCOHOL,KEGS,2.00,0.11,30.00,60.00,60.00
short-sleeved shirt,RETAIL,RETAIL,CLOTHING,2.00,0.11,20.00,40.00,40.00
2-player coop 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,197.00,10.50,7.00,1379.00,1375.50
blood orange blonde ale 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,187.00,9.97,6.00,1122.00,1116.00
brute squad 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,18.00,0.96,4.00,72.00,72.00
blood orange blond 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,17.00,0.91,4.00,68.00,68.00
blood orange blond 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,16.00,0.85,17.00,272.00,262.00
coffee porter,BEVERAGE,ALCOHOL,10OZ DRAUGHT,156.00,8.32,7.00,1092.00,1087.50
tons of bubbles 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,154.00,8.21,7.00,1078.00,1078.00
blood orange blonde ale 16oz 4-pack,RETAIL,RETAIL,PACKAGED GOODS,15.00,0.80,16.00,240.00,240.00
chocolate vanilla porter 4oz,BEVERAGE,ALCOHOL,4OZ DRAUGHT,14.00,0.75,4.00,56.00,56.00
hangover pretzels: ched ae~a ranch,FOOD,FOOD,FOOD,14.00,0.75,8.00,112.00,112.00
hangover pretzels: caysabi,FOOD,FOOD,FOOD,14.00,0.75,8.00,112.00,112.00
hangover pretzels: brown sugar cinnamon,FOOD,FOOD,FOOD,14.00,0.75,8.00,112.00,112.00
crispy boi lager 4-pack 16oz cans,RETAIL,RETAIL,PACKAGED GOODS,132.00,7.04,16.00,2112.00,2112.00
mikey's summer shandy,BEVERAGE,ALCOHOL,10OZ DRAUGHT,13.00,0.69,7.00,91.00,91.00
hangover pretzels: zesty lemon pepper,FOOD,FOOD,FOOD,13.00,0.69,8.00,104.00,96.00
do what's in your heart 16oz,BEVERAGE,ALCOHOL,16OZ DRAUGHT,125.00,6.66,8.00,1000.00,996.40
blood orange w/ hibiscus,BEVERAGE,ALCOHOL,16OZ DRAUGHT,123.00,6.56,7.00,861.00,861.00
barrel-aged chocolate vanilla porter,BEVERAGE,ALCOHOL,4OZ DRAUGHT,12.00,0.64,4.00,48.00,46.00
crispy boi 64oz,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,12.00,0.64,17.00,204.00,196.00
hangover pretzels: naked nuggets,FOOD,FOOD,FOOD,12.00,0.64,6.00,72.00,72.00
crispy boi 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,117.00,6.24,7.12,833.00,833.00
brute squad 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,114.00,6.08,8.00,912.00,896.00
barrel-aged chocolate vanilla porter,BEVERAGE,ALCOHOL,10OZ DRAUGHT,103.00,5.49,8.16,840.00,824.00
barrel-aged stouty mcstoutface 10oz,BEVERAGE,ALCOHOL,10OZ DRAUGHT,10.00,0.53,8.00,80.00,80.00
festhalle original kolsch,BEVERAGE,ALCOHOL,16OZ DRAUGHT,1.00,0.05,7.00,7.00,7.00
chd donation,BEVERAGE,ALCOHOL,BEER FLIGHTS,1.00,0.05,30.00,30.00,30.00
festhalle original kolsch,BEVERAGE,ALCOHOL,4OZ DRAUGHT,1.00,0.05,4.00,4.00,4.00
two ton branded glass growler 64oz empty,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.05,15.00,15.00,15.00
stouty mcstoutface,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.05,20.00,20.00,19.00
blood orange w/ hibiscus,BEVERAGE,ALCOHOL,64OZ GROWLER FILLS,1.00,0.05,17.00,17.00,16.00
knotty pretzels: cheddar bacon,FOOD,FOOD,FOOD,1.00,0.05,7.00,7.00,7.00
knotty pretzels: bbq,FOOD,FOOD,FOOD,1.00,0.05,7.00,7.00,7.00
the extra-special chocolate vanilla porter 32oz,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,1.00,0.05,10.00,10.00,10.00
stouty mcstoutface,BEVERAGE,ALCOHOL,32OZ GROWLER FILLS,1.00,0.05,10.00,10.00,10.00
womens black v-neck,RETAIL,RETAIL,CLOTHING,1.00,0.05,15.00,15.00,15.00
long-sleeved shirt,RETAIL,RETAIL,CLOTHING,1.00,0.05,25.00,25.00,25.00
red engine track friday shirt,RETAIL,RETAIL,CLOTHING,0.00,0.00,0.00,0.00,0.00
